"jobTitle","company","location","link","jobDescription"
"Data Scientist","Voloridge Investment Management","Jupiter, FL","https://datajobs.com/Voloridge-Investment-Management/Data-Scientist-Job~15510","Voloridge Investment Management implements bleeding edge machine learning techniques to solve the extremely challenging problems of modeling and predicting financial markets.  We build predictive models using propriety software as well as open source tools, which we use to drive and execute trade decisions. We are seeking an enthusiastic, self-motivated Data Scientist to work collaboratively with other data scientists to meet the Voloridge mission of delivering superior risk-adjusted returns using proprietary modeling techniques. At Voloridge we are passionate about expanding our knowledge and capabilities and find pleasure in creating better ways to provide services both internally and to our investors.  Our teams are comprised of energetic, hard-working, and highly analytical individuals that thrive on innovation and problem-solving at the nexus of big data and finance."
"Senior Data Scientist","Comunidad Partners","San Diego, CA","https://datajobs.com/Comunidad-Partners/Senior-Data-Scientist-Job~15090","Overview"
"Senior Data Scientist","The Walt Disney Company","Burbank, CA","https://datajobs.com/The-Walt-Disney-Company/Senior-Data-Scientist-Job~14898","Job Summary:"
"Statistical Analyst (Data Sciences) Global Pediatric Medicine","St. Jude Children’s Research Hospital","Memphis, TN","https://datajobs.com/St-Jude-Children-s-Research-Hospital/Statistical-Analyst-Data-Sciences-Global-Pediatric-Medicine-Job~14700","The World’s Brightest Minds Always Innovate"
"Associate Data Scientist","Disney Parks & Resorts","Glendale, CA","https://datajobs.com/Disney-Parks-Resorts/Associate-Data-Scientist-Job~13224","Job Summary:"
"Data Scientist - Data Analytics/Computer Architecture/Cloud Applications","GLOBAL Recruitment Solutions","Oshkosh, WI","https://datajobs.com/GLOBAL-Recruitment-Solutions/Data-Scientist-Data-Analytics-Computer-Architecture-Cloud-Applications-Job~11010","Summary"
"Senior Manager, Operations Performance Analysis (Data Science & Analysis)","Los Angeles Metro","Los Angeles, CA","https://datajobs.com/Los-Angeles-Metro/Senior-Manager-Operations-Performance-Analysis-Data-Science-Analysis--Job~10397","Bulletin No: 009616-004"
"Data Scientist/Product Manager - Data Analytics Platform","ESPN","Bristol, CT","https://datajobs.com/ESPN/Data-Scientist-Product-Manager-Data-Analytics-Platform-Job~10017","Working at ESPN is unlike anything else. That’s because we’re always finding new ways to interact with fans – however and wherever they connect with sports. When you have the latest technology, game-changing ideas and world-class talent on your team, every day is extraordinary.Data Scientist/Technical Product Manager - Consumer Data Management role will lead and directly manage key parts of the Consumer Data Platform product vision, development and execution. This role will play a critical role in advancing our personalization initiatives through development of a user360 view, implicit personalization capabilities and data visualization tools. In addition, the role will also be responsible to evangelize the technical platform and data assets across the company to achieve buy into the platform and help make it central to all Consumer related data needs. This product role is part of the Data Platforms team in the Technology organization in ESPN.This role requires close collaboration with other technical product owners, platform & consumer data engineering, ESPN research & analytics, digital product and ESPN sales & marketingThe right candidate will be able to articulate a platform and product vision and be capable of blending the needs from different technical & business groups into a well formed technical product & platform road map. Furthermore, this person will have a diverse background and a demonstrable track record of successfully building and managing scaled, high-quality, innovative data platforms and technical services for a internal or external consumer organization. The right candidate must be a self-motivated, team player who can contribute to the overall business objectives of the organization. This person must be able to work closely with other internal and external product and technology experts."
"Data Scientist - Machine Learning","Leading FINTECH - Marketplace Lending","San Jose, CA","https://datajobs.com/Leading-FINTECH-Marketplace-Lending/Data-Scientist-Machine-Learning-Job~9914","Due to our firm's growth and profitability we are seeking to hire experienced data scientists for our team based in San Francisco."
"Senior Data Scientist","Bechtel Corporation","Reston, VA","https://datajobs.com/Bechtel-Corporation/Senior-Data-Scientist-Job~9835","Requisition ID: 181219"
"Senior Data Scientist & Analytics Developer","Management Sciences for Health (MSH)","Arlington, VA","https://datajobs.com/Management-Sciences-for-Health-MSH-/Senior-Data-Scientist-Analytics-Developer-Job~9452","Overview"
"Principal Data Scientist","Microsoft","Bellevue, WA","https://datajobs.com/Microsoft/Principal-Data-Scientist-Job~9055","What if your job description were simply “Make tomorrow better?”  That’s the essence of roles within our team.  "
"Data Scientist – Analytics","Booking.com","Amsterdam","https://datajobs.com/Booking-com/Data-Scientist-Analytics-Job~8634","Booking.com is looking for data savvy professionals to join our team of data scientists. You will be working with stakeholders throughout the company to generate understanding, strategy and suggest actions based on data. If you consider yourself to be that unique hybrid of data hacker, business analyst, communicator and mentor that maintains a strong customer focus and values pragmatism over perfection, then we’d like to hear from you."
"Data Scientist","CDR Insights","Duluth, GA","https://datajobs.com/CDR-Insights/Data-Scientist-Job~8451","Data Scientist"
"Director of Analytics and Data Science","Sawyer Studios","New York, NY","https://datajobs.com/Sawyer-Studios/Director-of-Analytics-and-Data-Science-Job~8342","Fast-moving and fun entertainment advertising and marketing agency seeks Director of Analytics and Data Science to oversee the development and maintenance of a newly developed reporting and analytical infrastructure. Combining a data warehouse with real-time metrics and a client-facing dashboard, it is a constantly evolving interface with new features being added on a weekly basis and is focused on providing data visualization of advertising campaign data from multiple sources."
"Data Scientist","Delane Consulting & Staffing LLC","Basking Ridge, NJ","https://datajobs.com/Delane-Consulting-Staffing-LLC/Data-Scientist-Job~6888","Advanced Data Analytics Scientists Needed!"
"Sr. Data Scientist","Bark","New York, NY","https://datajobs.com/Bark/Sr-Data-Scientist-Job~6623","this is a remote position; US/Canada only"
"Data Scientist","Stitch Labs","San Francisco, CA","https://datajobs.com/Stitch-Labs/Data-Scientist-Job~6181","At Stitch, the data science team works to drive internal business and product decisions with empirical evidence and experimentation. We are also strong believers that Stitch can bring a similar level of insight to our customers by helping them make decisions around their own purchasing, inventory, and sales processes. As Stitch grows as a company so has the scale of data there is a continual effort to make access to data, insights, and experimentation scaleable for both internal analysis and customer facing insights."
"Data Scientist Consultant","AIM Rx","Blue Bell, PA","https://datajobs.com/AIM-Rx/Data-Scientist-Consultant-Job~6041","Data Scientist Consultant - Immediate Need"
"Data Scientist","Brooks Rehabilitation","Jacksonville, FL","https://datajobs.com/Brooks-Rehabilitation/Data-Scientist-Job~6028","The Director of Data Science executes a strategic planning process to create, develop, govern, and grow a Data Science department that establishes data-driven decision-making to support improved business performance across a post-acute healthcare system, balancing financial and clinical needs.  Establishes the unique conceptual framework and workflow of the Data Science department and distinguishes the department from other existing departments, including workflow for data governance, data system development (informatics), and data analytics. Collaborates with other senior leaders, and creates collaborative teams of leaders, managers, subject matter experts, and employees. Develops and supports the analytical and information needs required to influence business initiatives, and to discover trends and performance outcomes through the aggregation of Brooks’ internal and external sources of data."
"Sr. Data Scientist","KSM Consulting","Indianapolis , IN","https://datajobs.com/KSM-Consulting/Sr-Data-Scientist-Job~5967","Fearless Problem Solvers Wanted"
"Data Scientist - Consumer Insights Manager","UncommonGoods","New York, NY","https://datajobs.com/UncommonGoods/Data-Scientist-Consumer-Insights-Manager-Job~5790","Uncommon Goods is fun, fast-paced e-commerce and catalog retailer offering creatively designed, high-quality merchandise. Our team consists of friendly, hard-working, big –thinking people who care about our impact on the environment and the world. Located in Brooklyn, NY, we are also a founding member of B Corporation, a carefully screened network of socially responsible business. We are looking for a creative and knowledgeable Data Scientist to join our growing Business Analytics department.  "
"Deputy Data Scientist","Well & Lighthouse","Washington DC","https://datajobs.com/Well-Lighthouse/Deputy-Data-Scientist-Job~5248","If you crave the familiarity and feel of a small company and still relish the challenge of working for high-profile clients in a fast-paced environment; love the freedom that comes with developing new tools from scratch; have the urge to write a program to automate every annoying repetitive task you’ve ever done - then this is the job for you."
"Analyst, Data Science","Wayfair","Boston, MA","https://datajobs.com/Wayfair/Analyst-Data-Science-Job~3881","The Data Science group at Wayfair solves some of the most analytically challenging problems facing a rapidly growing Internet leader with millions of customers and complex business operations."
"Data Scientist","Motorola Mobility","Chicago, IL","https://datajobs.com/Motorola-Mobility/Data-Scientist-Job~3666","Business Operations Data Scientist"
"Data Scientist","Etsy","Brooklyn, NY","https://datajobs.com/Etsy/Data-Scientist-Job~1292","Etsy is seeking data mining scientists to join our data science team. As a scientist at Etsy, you will be developing cutting edge algorithms that drive our recommender systems and search ranking engines. This development includes both research and engineering across our entire stack: data analysis and algorithmic prototyping, implementation within our Hadoop infrastructure, and integration with Etsy's web stack.  You love experimentation and are motivated to understand everything you build, from algorithmic changes to front-end improvements. You look forward to embracing our continuous deployment process at Etsy and believe in a highly iterative approach to problem solving.About the Engineering Team The technical staff at Etsy believes that code is craft, good software and systems designs are works of art, and that the work we do is part of larger creative culture represented by the hundreds of thousands of inspired makers who make Etsy such a wondrous marketplace. We believe that small, empowered, self-motivated teams can do big things. We also believe in the right tool for the job, not language-as-religion. Our current systems run PHP, Java, Scala, Python, Ruby, Solr/Lucene, Postgres, MySQL, and more. Check out our Engineering blog.About the Job:As part of the data mining team at Etsy, you would:"
"Data Scientist - Analytics and Software Engineering","Birchbox","New York, NY","https://datajobs.com/Birchbox/Data-Scientist-Analytics-and-Software-Engineering-Job~3616","Birchbox is looking for data scientists and senior data scientists with software engineering skills to work on data-driven tasks, including:"
