"jobTitle","company","location","link","jobDescription"
"Data Scientist - Entry Level","Numerdox","Sacramento, CA","https://www.indeed.com/rc/clk?jk=21091c4562d65586&fccid=dd616958bd9ddc12&vjs=3","As a Data Scientist you will be working on consulting side of our business. You will be responsible for analyzing large, complex datasets and identify meaningful patterns that lead to actionable recommendations. You will be performing thorough testing and validation of models, and support various aspects of the business with data analytics.Ability to do statistical modeling, build predictive models and leverage machine learning algorithms.This position will combine the typical Data Scientist math and analytical skills, with research, advanced business, communication, and presentation skills.Primary job location is in Sacramento, but work-from-home option is available.QualificationsBachelors, MS or PhD in a relevant field (Computer Science, Engineering, Statistics, Physics, Applied Math)Experience in R and/or Python is preferred"
"Data Scientist, Engineering","Google","San Francisco, CA","https://www.indeed.com/rc/clk?jk=ae416685deba77b5&fccid=a5b4499d9e91a5c6&vjs=3","Note: By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, USA; San Bruno, CA, USA; Seattle, WA, USA; San Francisco, CA, USAMinimum qualifications:Master's degree in a quantitative discipline (e.g., Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering) or equivalent practical experience.2 years of work experience in data analysis related field.Experience with statistical software (e.g., R, Python, MATLAB, pandas) and database languages (e.g., SQL)Preferred qualifications:PhD degree in a quantitative discipline.4 years of relevant work experience, including expertise with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods.Applied experience with machine learning on large datasets.Experience articulating and translating business questions and using statistical techniques to arrive at an answer using available data.Demonstrated leadership and self-direction. Willingness to both teach others and learn new techniques.Demonstrated skills in selecting the right statistical tools given a data analysis problem. Effective written and verbal communication skills.About the jobAs a Data Scientist, you will evaluate and improve Google's products. You will collaborate with a multi-disciplinary team of engineers and analysts on a wide range of problems. This position will bring scientific rigor and statistical methods to the challenges of product creation, development and improvement with an appreciation for the behaviors of the end user.Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, data scientists not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.ResponsibilitiesWork with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.Build and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive knowledge of Google data structures and metrics, advocating for changes where needed for product development.Interact cross-functionally, making business recommendations (e.g., cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.Research and develop analysis, forecasting, and optimization methods to improve the quality of Google's user facing products.At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form."
"data scientist, Insights & Analytics - Seattle, WA","Starbucks","Seattle, WA","https://www.indeed.com/rc/clk?jk=e7460ad46e4dac06&fccid=a88e611ddef97571&vjs=3","Now Brewing – data scientist! #tobeapartnerFrom the beginning, Starbucks set out to be a different kind of company. One that not onlycelebrated coffee and the rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others.Are you a data scientist who thinks like a business owner? Are you passionate about solving business problems by designing optimal experiments and deploying solutions at scale using 1st, 2nd, and 3rd party customer data in a next generation analytics infrastructure to help Starbucks optimize digital engagements with our 75M customers?If you answered “yes” to the questions above, please come and join our Data Science team. You will help optimize app-level product recommendations, digital menu board content, voice-order recommendations, drive-thru personalized menu board content, 1-1 and in-store marketing via personalized content on order labels and POS systems.As a data scientist, your responsibilities and job functions will include…Data Preparation:Under direction of more senior data scientists, execute extraction and synthesis of data from Azure: data lake storage (ADLS), blob storage, SQL DW, SQL Server; and legacy systems: Oracle and its companion data lake storageUnder direction of more senior data scientists, process 1st 2nd, and 3rd party customer data in next generation privacy compliant infrastructureBusiness Understanding & Provide Optimal Solutions:Has minimal understanding of Starbucks business, and business acument in general. Requires mentoring and guidanceMachine Learning and Data Product Dev and Deployment:Under direction of more senior data scientists, contribute to AI and Machine Learning models in batch, real-timeDevelop data pipelines and scalable Restful APIs to create and enable analytical applicationsStatistics and Model Development and Deployment:Leverage the latest cloud technologies, existing and immerging statistical and machine learning techniques to identify data patterns and trends to solve business problemsWith support from more senior data and decision scientists, build and deploy customer segments to facilitate optimal marketing targeting within channelsVia a ""feature factory"" approach, build large numbers of weak learners in a Customer 360 frameworkInsights Operationalization:Under the guidance of more senior data scientists, create clear and concise packaging and presentation of data products and insights to business stakeholders, leaders and the broader analytics communityData Science Evangelism:With support from more senior data scientists, establish and foster close collaboration between data and decision scientists, engineers, business and leadership teams to align on technical roadmaps for innovationEstablish brand and team as subject matter experts and trusted advisors for Analytics across departmentsProject & Work Management:Actively participate in an Agile team structure designed to create a bias for action (fail fast/often)Utilize Wiki and GitHub to share standards and codePresent code to team for review compared to Best PracticeActively participate in Agile-related meetings: stand-ups, sprint planning, retrospectives, showcasesParticipate in Microsoft Azure and other trainingsWe’d love to hear from people with:Education: Min BS/BA with concentration in quantitative discipline - Stats, Math, Comp Sci, Engineering, Econ or similar discipline1+ years’ professional data science experienceDemonstrated experience with one programming language such as Scala, Java, C++, C#Demonstrated experience with scripting languages such as Unix Shell (ksh, csh, bash, sh), PowerShell, ARMDemonstrated experience with cloud tech for data and analytics solutions (Azure, AWS)Demonstrated experience building and deploying AI / Machine Learning solutions, at scaleDemonstrated familiarity with Web application security, SSL OAuthDemonstrated self-sufficiency with R or Python (or equivalent)Retail, customer loyalty, or eCommerce experience preferredJoin us and be part of something bigger. Apply today!Starbucks and its brands are an equal opportunity employer of all qualified individuals, including minorities, women, veterans and individuals with disabilities. Starbucks will consider for employment qualified applicants with criminal histories in a manner consistent with all federal, state, and local ordinances."
"Entry Level Data Scientist","IBM",NA,"https://www.indeed.com/rc/clk?jk=267e7cf7de2959c7&fccid=de71a49b535e21cb&vjs=3","IntroductionAt IBM we have an amazing opportunity to transform the world with cognitive technology. By using the vast amounts of information available today to identify new patterns and make new discoveries, we are helping cities become smarter, hospitals transform patient care, financial institutions minimize risk, and pharmaceuticals find cures for rare diseases.Data scientists work with enterprise leaders and key decision makers to solve business problems by preparing, analyzing, and understanding data to deliver insight, predict emerging trends, and provide recommendations to optimize results. Data scientists use a variety of data (structured, unstructured, IoT streaming), analytics, AI tools, and programming languages often using a cloud infrastructure to handle the volume and veracity of data streams.Armed with data, modeling expertise, and analytic results, the data scientist communicates conclusions and recommendations to stakeholders in an organization's leadership structure. Business acumen is an important skill for data scientists to effectively communicate their findings to business leaders, data scientists need strong consulting, communication, visualization, and storytelling skills.Your Role and ResponsibilitiesSTART DATES FOR THIS POSITION ARE IN 2020Data Scientists are in demand across IBM's growth areas. If hired, you will be matched to a team based on business demand, location and fit. Join the forward-thinking teams at IBM solving some of the world’s most complex problems – there is no better place to grow your career!What You’ll Do as an Entry-Level Data Scientist:You will implement and validate predictive models as well as create and maintain statistical models with a focus on big data.You will be exposed to and incorporate a variety of statistical and machine learning techniques such as logistic regression, experimental design, generalized linear models, mixed modeling, CHAID/decision trees, neural networks and ensemble models.You’ll communicate with internal and external clients to understand business needs and provide analytical solutions.You will use leading edge tools such as COGNOS, Watson Studio and Watson Machine Learning.You’ll work in an Agile, collaborative environment, partnering with other scientists, engineers, and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.Who You Are:You are great at solving problems, debugging, troubleshooting, and designing & implementing solutions to complex technical issues.You thrive on teamwork and have excellent verbal and written communication skills.You have strong technical and analytical abilities, a knack for driving impact and growth, and some experience with programming/scripting in a language such as Java or Python.You have a basic understanding of statistical programming in a language such as R, SAS, or Python.You have an interest in, understanding of, or experience with Design Thinking and Agile Development MethodologiesRequired Professional and Technical ExpertiseBasic understanding of statistical programming in a language such as R, SAS, or Python.Experience with programming/scripting in a language such as Java or Python.Knowledge of statistical concepts such as regression, time series, mixed model, Bayesian, clustering, etc., to analyze data and provide insights.Preferred Professional and Technical ExpertiseAdvanced knowledge of statistical concepts such as regression, time series, mixed model, Bayesian methods, clustering, etc., to analyze data and provide insights.About Business UnitNo matter where you work in IBM, you are making an impact. As an Early Professional with IBM, you will be taking on a key role with one of our industry-leading business units to work on the technology that is solving our most challenging problems and changing the way the world thinks.Your Life @ IBMWhat matters to you when you’re looking for your next career challenge?Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.Impact. Inclusion. Infinite Experiences. Do your best work ever.About IBMIBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.Location StatementWe consider qualified applicants with criminal histories, consistent with applicable law.Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
"Entry Level - Associate Data Scientist","IBM",NA,"https://www.indeed.com/rc/clk?jk=1e686166d30fd118&fccid=de71a49b535e21cb&vjs=3","IntroductionAs a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.Your Role and ResponsibilitiesImplement and validate predictive and prescriptive models, create and maintain statistical models with a focus on big data.Incorporate a variety of statistical and machine learning techniques in your projects.Write programs to cleanse and integrate data in an efficient and reusable manner.Use leading edge and open-source tools such as Python, R, and TensorFlow, combined with IBM tools and our AI application suites.Work in an Agile, collaborative environment, partnering with other scientists, engineers, consultants and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.Communicate with internal and external clients to understand and define business needs and appropriate modelling techniques to provide analytical solutions.Evaluate modelling results and communicate the results to technical and non-technical audiences.Required Professional and Technical ExpertiseAbility to look at things differently, debug, troubleshoot, design and implement solutions to complex technical issues.Strong technical and analytical abilities, a knack for driving impact and growth, and experience with a programming/scripting in a language such as Java or Python.Basic understanding of statistical programming in a language such as R, Python, or SAS, SPSS, MATLAB.Basic understanding of Cloud (AWS, Azure, etc.)Excellent verbal and written communication skills.Work or internship experience using data science tools in a corporate environment.Interest in, understanding of, or experience with Design Thinking and Agile Development MethodologiesWillingness to travel up to 100% of the time.Majors:Computer Science, Data Science, Applied Mathematics, Statistics, Cognitive Science, Artificial Intelligence, Business Intelligence, Operations Research, EngineeringLocations:Cambridge, MAChicago, ILDallas, TXHouston, TXNew York, NYSan Francisco, CAWashington DCPreferred Professional and Technical ExpertiseNAAbout Business UnitIBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.Your Life @ IBMWhat matters to you when you’re looking for your next career challenge?Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.Impact. Inclusion. Infinite Experiences. Do your best work ever.About IBMIBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.Location StatementWe consider qualified applicants with criminal histories, consistent with applicable law.Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
"Data Scientist","IBM",NA,"https://www.indeed.com/rc/clk?jk=dce651a13a33e641&fccid=de71a49b535e21cb&vjs=3","IntroductionClient Technical Specialists (CTP) are the technical experts and advisors to clients, IBM sales teams and/or IBM Business Partners. As a CTP you understand the client's business requirements, technical requirements and/or competitive landscape. You apply your business insights, build and maintain client relationships, incorporate hardware, software and services into client-valued solutions and ensure client readiness for the implementation of technical solutions. This is an opportunity to shape the future for both IBM and its clients. Start your journey now!Your Role and ResponsibilitiesYour Role & Responsibilities:As part of an entrepreneurial team, you will be the Subject Matter Expert on Data and AI Statistical models and how they apply to business problems. Led by a solution architect, you will advise on and help implement models in Machine Learning, Optimization, Neural Networks, and Artificial Intelligence such as Natural Language, Transfer Learning, Deep Learning and other quantitative approaches. You will also leverage deep skills and best practices to provide expertise and leadership to help design IBM Data Science and AI solutions that will help our clients drive technology benefits and business outcomes across industries. You will work with cutting edge technologies such as Watson, as well as Open Source approaches such as Python and Jupyter notebooks as well as with a passionate team of people who are driving the innovation and digital transformation to cross-industry enterprise clients with the adoption of IBM Data Science and AI. An ideal candidate will be familiar with Design Thinking, Statistics, building Supervised and Unsupervised machine learning models, and data cleansing techniques using various utilities and programming techniques.Key Responsibilities:Run and statistically evaluate statistical models such as Machine Learning, Optimization, Neural Networks and Artificial IntelligencePartner with Scrum Masters, Product Owners, Solution architects and peer data scientist and development data engineers to create solutions to meet business and technical opportunitiesUnderstand and communicate technical advantages and tradeoffs between Data ModelsExplore and develop new technical skills and industry practices while absorbing professional knowledge quickly and using demonstrated interpersonal skills to be an effective ambassador for IBM Data Science and AIUse exceptional communication skills and with input from product management, development, and architecture thought leaders, work to deliver high quality end-to-end Solutions at Scale in response to the identified business requirements from our clients; ensure the results are statistically validcldpakatRequired Technical and Professional ExpertiseTechnical degree in Computer Science or another field relevant to Data Science1+ years of experience working with Machine Learning, Optimization, Neural Networks and/or Artificial Intelligence1+ years of experience with a Data Science programming language such as Python or RDeep understanding of StatisticsFluent in EnglishAbility to Travel 75% and conduct Client Facing/Technical SolutionsPreferred Technical and Professional ExpertiseExperience with Jupyter NotebooksDeep understanding of Statistical Machine Learning Models with Python or RSupporting Relevant business domain knowledge such as Finance or Health CareAbout Business UnitDigitization is accelerating the ongoing evolution of business, and clouds - public, private, and hybrid - enable companies to extend their existing infrastructure and integrate across systems. IBM Cloud provides the security, control, and visibility that our clients have come to expect. We are working to provide the right tools and environment to combine all of our client’s data, no matter where it resides, to respond to changing market dynamics.Your Life @ IBMWhat matters to you when you’re looking for your next career challenge?Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.Impact. Inclusion. Infinite Experiences. Do your best work ever.About IBMIBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.Location StatementIBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.We consider qualified applicants with criminal histories, consistent with applicable law.Being You @ IBMIBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
"Data Scientist","Source Enterprises","New York, NY","https://www.indeed.com/rc/clk?jk=1636faa0308fd08f&fccid=1577085fc2290983&vjs=3","Source Systems is now inviting the brightest, creative and passionate minds to become a part of our Data Scientist Internship Program. Work with our industry experts to gain unrivaled knowledge at both the strategic level (generating bold and innovative ideas for data science-driven growth) and at the tactical level across multiple teams (building and testing hypotheses, creating predictive analytics models, incorporating findings into proof points supporting product launches). These invaluable experiences will greatly increase your skills and value to employers. We know what it takes to leverage powerful data systems that are used to provide important results for company planning and key decision making.Job DescriptionA position at Source Systems is a rich experience that cannot be duplicated in any other learning/working environment. We are looking for a Data Scientist Intern that helps us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our products.You will collaborate with cross-functional teams to define, design, implement, data mining capabilities and effectively provide the results, in a fast paced environment, necessary to meet our business needs. This position may include working remotely and provides flexible hours to accommodate productive work-flow.Responsibilities:Selecting features, building and optimizing classifiers using machine learning techniquesData mining using state-of-the-art methodsExtending company’s data with third party sources of information when neededEnhancing data collection procedures to include information that is relevant for building analytic systemsProcessing, cleansing, and verifying the integrity of data used for analysisDoing ad-hoc analysis and presenting results in a clear mannerCreating automated anomaly detection systems and constant tracking of its performanceStay current on modern trends and advances in data mining technologyWork closely with our experts and other team members to efficiently prototype/develop features and functions for our various productsPerform other duties as assignedQualifications:Internship candidates should have high interest in learning top of the line data mining platforms, programming, tools, testing, and analyzing business needs:Understanding of machine learning techniques and algorithms, such as: k-NN, Naive Bayes, SVM, Decision Forests, etc.Some knowledge of common data science toolkits, such as R, Weka, NumPy, MatLab, etcData visualization tools, such as D3.js, GGplot, etc.NoSQL databases, such as MongoDB, Cassandra, HBase, etc.Statistics skills, such as distributions, statistical testing, regression, etc.Data-oriented personalityExcellent writing & organizational skillsIndependent work ethicDetail orientedStrong drive to succeedEntrepreneurial mindsetProactiveGood communicatorTeam playerAutonomousPassion for coding, solving problems and working in a team environmentUse a provided online productivity platform to organize and keep track of your completedtasks.Makes suggestions for processes, coding, implementation, and/or performance improvements.Please send a resume for consideration.Part time and Full time positions available.Flexible at home positions available."
"Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences","Microsoft","Redmond, WA","https://www.indeed.com/rc/clk?jk=11baba484db23433&fccid=734cb5a01ee60f80&vjs=3","Data Scientists at Microsoft help to improve the quality of experiences on our devices and services. We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft’s devices, operating systems, and services. As a Data Scientist, you will provide unique insight into business and customer scenarios that cut across organizational boundaries and lead the growth of a data-driven culture within Microsoft.Do you want to work on a meaningful and impactful project and make a difference?Are you willing to learn from others and open to new ideas?Do you want to support others to succeed and operate in a highly-collaborative and global environment?If this sounds like you, Microsoft would like to invite you to come join us as you are, where you can find more than just a job.Read on to learn more about opportunities and apply online!ResponsibilitiesAs a Data Scientist, you will formulate approaches to solve problems using well-defined algorithms and data sources. You will incorporate an understanding of product functionality and customer perspective to provide context for those problems. You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the data. Successful Data Scientists will interpret the results of their analysis, validate their approach, and learn to monitor, analyze, and iterate to continuously improve.You will engage with peer stakeholders to produce clear, compelling, actionable insights that influence product and service improvements that will impact millions of customers. As a Data Scientist, you will also engage in the peer review process and act on feedback while learning innovative methods, algorithms, and tools to increase the impact and applicability of your results.QualificationsCurrently has or is in the process of obtaining their BA/BS or Masters in Computer Science, Mathematics, Economics, Statistics, Applied Sciences like Biostatistics, Physics, Chemistry, Computational NeurologySome Engineering experience and or project course work using large data systems on SQL, Hadoop, etc.Proficiency using one or more programming or scripting language to work with data such as: Python, Perl, or C#.Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS.Some experience and or project course work with product and service telemetry systems.Some A/B Testing or experimentation (this can be from conducting real life science experiments, hypothesis testing in stats etc.) Not required but ideal.Some experience or course work applying basic ML to a type of data and or used algorithms to conduct experiments on data. Machine Learning strongly encouraged.Passion to learn from your peers, manager, and other stakeholders in the Data Science domain.Ability to interact with peers and stakeholders to drive product and business impact.Strong interpersonal and communications skills.Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
"Data Scientist","Cincinnati Reds","Cincinnati, OH","https://www.indeed.com/rc/clk?jk=cdb2006cc7fa4e4a&fccid=e8a6241bc4fe2964&vjs=3","Department: Baseball OperationsJob Title: Data ScientistReports To: Manager of Baseball AnalyticsFLSA: Salary, ExemptJob Purpose: Work with the Manager of Baseball Analytics to implement the department’s research and development efforts within new and existing applications. We envision the person in this position to play a major role in the creation of new baseball analytics concepts with the ultimate goal of enhancing player evaluation and on-field performance.Essential Duties and Responsibilities:Design, develop, test, implement and maintain predictive models and metrics utilizing appropriate tools and techniques.Work with our Baseball Analytics and Systems staff to integrate new statistical analyses, models and data visualizations into existing and new applications.Perform ad hoc analyses and effectively prepare and present findings.Keep up to date on new predictive modeling techniques and evaluate their potential for application to baseball data sets.Collaborate with Major League Operations, Player Development and Sports Science departments to design and implement statistical analyses.Knowledge, Skills and Abilities:3+ years of experience in a computational field, such as Statistics, Biostatistics, Data Science, Mathematics, Engineering, Quantitative Social Sciences or Analytics.Strong knowledge of statistical analysis and predictive modeling.Demonstrated experience with statistical software (e.g. R, Python) and database querying (SQL).Ability to communicate effectively with all aspects of Baseball Operations, Scouting and Player Development staffs.Experience with Bayesian statistics. (Preferable, but not required).Understanding of typical baseball data structures.Knowledge of current baseball research, sabermetric concepts, traditional baseball statistics and strategy.Work Environment:Remote working accommodations are available.Work is normally performed in a typical interior/office work environment.Hours may periodically include nights, weekends and holidays.Expectations:Adhere to Cincinnati Reds Organization Policies and Procedures.Act as a role model within and outside the Cincinnati Reds Organization.Performs duties as workload necessitates.Demonstrate flexible and efficient time management and ability to prioritize workload.Meet Department productivity standards.Equal Opportunity Statement:The Cincinnati Reds are an Equal Opportunity Employer. It is the policy of the Cincinnati Reds to ensure equal employment opportunity without discrimination or harassment on the basis of race, color, national origin, religion or creed, sex, age, military or veteran status, disability, citizenship status, marital status, genetic predisposition or carrier status, sexual orientation or any other characteristic protected by law.Disclaimer:The statements herein are intended to describe the general nature and level of work being performed by the employee in this position. The above description is only a summary of the typical functions of the job, not an exhaustive or comprehensive list of all possible job responsibilities, tasks, and duties. Additional duties, as assigned, may become part of the job function. The duties listed above is, therefore, a partial representation not intended to be an exhaustive list of all responsibilities, duties, and skills required of a person in this position."
"Data Scientist","1Thread",NA,"https://www.indeed.com/rc/clk?jk=45c7f8c9e819c9b4&fccid=add6d0a1c3e02a8a&vjs=3","We are looking for talented scientists and software engineers to join our platform team.Our Platform team develops all distributed and big data systems and applications to efficiently run 1Thread's data management, and analytics."
