"jobTitle","company","location","link","jobDescription"
"Data Scientist (Machine Learning) – Gurgaon (2-4 years of experience)","Analytics Vidhya "," Gurgaon ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-machine-learning-gurgaon-2-4-years-of-experience/","excel, machine learning, predictive modeling, python, r"
"Data Scientist (Theoretical)- Delhi/NCR (4+ Year Of Experience)","Analytics Vidhya "," Gurugram ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-theoretical-delhincr-4-year-of-experience/","clustering, data mining, decision trees, forecasting, machine learning, regression, statistics"
"Data Scientist (Python Expert ) -Hyderabad- (2-4 Years Of Experience)","Analytics Vidhya "," Hyderabad ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-python-expert-hyderabad-2-4-years-of-experience/","numpy + scipy, predictive modeling, problem solving, python, scikit learn, statistics"
"Data Scientist (Industry Experience)-Delhi/NCR ( 5+ Years of Experience)","Analytics Vidhya "," Gurgaon ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-industry-experience-delhincr-5-years-of-experience/","data science, forecasting, predictive model, python, r"
"Data Scientist - Advanced Analytics- Bangalore (4-8 Years Of Experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-advanced-analytics-bangalore-4-8-years-of-experience/","hive, logistic regression, python, qlikview, r, regression, sql, teradata"
"Data Scientist- Bangalore (2+ years of experience)","Analytics Vidhya "," Bengaluru ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-bangalore-2-years-of-experience-2/","data science, hadoop, hbase, hive, machine learning, predictive modeling, python, r, spark, statistical modeling"
"Data Scientist - Chennai (3 - 5 years of Experience)","Analytics Vidhya "," Multiple ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-chennai-3-5-years-of-experience/","algorithms, analytics, data extraction, data manipulation, data science, machine learning, predictive model, python, r, structured thinking, visualization"
"Request Experienced Data Scientist and Machine Learner (Location Delhi NCR, Bangalore) 4-5 Years Exp.","Analytics Vidhya "," Bengaluru, Delhi ","https://jobsnew.analyticsvidhya.com/jobs/request-experienced-data-scientist-and-machine-learner-location-delhi-ncr-bangalore-4-5-years-exp/","Advanced Excel,  deep learning,  machine learning,  sql"
"Data Scientist -Mumbai (1-4 Years Of Experience)","Analytics Vidhya "," Mumbai ","https://jobsnew.analyticsvidhya.com/jobs/data-scientist-mumbai-1-4-years-of-experience/","artificial intelligence, c++, C, java, machine learning, predictive modeling, python, statistics"
"Request Experienced Data Scientist and Machine Learner (Location Delhi NCR, Bangalore) 4-5 Years Exp.","Analytics Vidhya "," Bengaluru, Delhi ","https://jobsnew.analyticsvidhya.com/jobs/request-experienced-data-scientist-and-machine-learner-location-delhi-ncr-bangalore-4-5-years-exp/","Advanced Excel,  deep learning,  machine learning,  sql"
